No,Tahun,Bulan,Kode,Nama,Luas_Tan_Akhir_Bulan_Lalu,Luas_Panen_Habis,Luas_Panen_Belum_Habis,Luas_Rusak,Luas_Tambah_Tanam,Luas_Tan_Akhir,Produksi_Habis_Kw,Produksi_Belum_Habis_Kw,Harga_Jual_Petani_RpKg,Bulan_num,Periode,Produksi_kg,Luas_Panen_ha,is_zero_produksi
1,2023,Januari,BWD,Bawang Daun,9,1,0,0,2,10,180.0,0,5000,1,2023-01-01,18000.0,1,0
27,2023,Februari,BWD,Bawang Daun,10,2,0,0,3,11,360.0,0,5500,2,2023-02-01,36000.0,2,0
53,2023,Maret,BWD,Bawang Daun,11,3,0,0,2,10,540.0,0,5500,3,2023-03-01,54000.0,3,0
79,2023,April,BWD,Bawang Daun,10,2,0,0,2,10,360.0,0,5500,4,2023-04-01,36000.0,2,0
105,2023,Mei,BWD,Bawang Daun,10,1,0,0,1,10,180.0,0,5500,5,2023-05-01,18000.0,1,0
131,2023,Juni,BWD,Bawang Daun,10,1,0,0,1,10,80.0,0,5500,6,2023-06-01,8000.0,1,0
157,2023,Juli,BWD,Bawang Daun,10,2,0,0,2,10,120.0,0,7500,7,2023-07-01,12000.0,2,0
183,2023,Agustus,BWD,Bawang Daun,10,2,0,0,2,10,140.0,0,6000,8,2023-08-01,14000.0,2,0
209,2023,September,BWD,Bawang Daun,10,2,0,0,2,10,160.0,0,8000,9,2023-09-01,16000.0,2,0
235,2023,Oktober,BWD,Bawang Daun,10,2,0,0,2,10,145.0,0,7000,10,2023-10-01,14500.0,2,0
261,2023,November,BWD,Bawang Daun,10,5,0,0,5,10,375.0,0,8000,11,2023-11-01,37500.0,5,0
287,2023,Desember,BWD,Bawang Daun,10,3,0,0,3,10,240.0,0,8000,12,2023-12-01,24000.0,3,0
313,2024,Januari,BWD,Bawang Daun,10,3,0,0,7,14,600.0,0,6000,1,2024-01-01,60000.0,3,0
339,2024,Februari,BWD,Bawang Daun,14,3,0,0,2,13,600.0,0,8000,2,2024-02-01,60000.0,3,0
365,2024,Maret,BWD,Bawang Daun,13,3,0,0,6,16,600.0,0,10000,3,2024-03-01,60000.0,3,0
391,2024,April,BWD,Bawang Daun,18,2,14,0,1,17,100.0,1264,6000,4,2024-04-01,136400.0,16,0
417,2024,Mei,BWD,Bawang Daun,9,6,4,0,11,10,315.0,990,6000,5,2024-05-01,130500.0,10,0
443,2024,Juni,BWD,Bawang Daun,12,1,14,0,10,13,974.0,1380,6000,6,2024-06-01,235400.0,15,0
469,2024,Juli,BWD,Bawang Daun,14,6,9,0,13,4,443.0,529,6000,7,2024-07-01,97200.0,15,0
495,2024,Agustus,BWD,Bawang Daun,0,0,0,0,0,0,0.0,0,6260,8,2024-08-01,0.0,0,1
521,2024,September,BWD,Bawang Daun,5,8,1,0,14,5,251.0,708,6000,9,2024-09-01,95900.0,9,0
