No,Tahun,Bulan,Kode,Nama,Luas Tan Akhir Bulan Lalu,Luas Panen Habis,Luas Panen Belum Habis,Luas Rusak,Luas Tambah Tanam,Luas Tan Akhir,Produksi Habis (Kw),Produksi Belum Habis (Kw),Harga Jual Petani (Rp/Kg),Produksi_Habis_kg,Produksi_BelumHabis_kg,Produksi_kg,Luas_Panen_ha,Bulan_Angka,is_zero_produksi,is_outlier,Periode,Suhu_Rata,Curah_Hujan,Total_Pupuk_Kg,bulan_sin,bulan_cos,lag1_produksi,rolling3_produksi,komoditas_id,komoditas_oh_Bawang Daun,komoditas_oh_Bawang Merah,komoditas_oh_Bawang Putih,komoditas_oh_Bayam,komoditas_oh_Buncis,komoditas_oh_Cabai Besar,komoditas_oh_Cabai Keriting,komoditas_oh_Cabai Rawit,komoditas_oh_Jamur Lainnya,komoditas_oh_Jamur Merang,komoditas_oh_Jamur Tiram,komoditas_oh_Kacang Panjang,komoditas_oh_Kangkung,komoditas_oh_Kembang Kol,komoditas_oh_Kentang,komoditas_oh_Kubis,komoditas_oh_Labu Siam,komoditas_oh_Melon,komoditas_oh_Mentimun,komoditas_oh_Paprika,komoditas_oh_Petsai/Sawi,komoditas_oh_Semangka,komoditas_oh_Stroberi,komoditas_oh_Terung,komoditas_oh_Tomat,komoditas_oh_Wortel,split
79,2023,April,BWD,Bawang Daun,10,2,0,0,2,10,360.0,0,5500,36000.0,0,36000.0,2,4,0,False,2023-04-01,23.3,309.0,250.0,0.8660254037844387,-0.49999999999999983,54000.0,36000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
105,2023,Mei,BWD,Bawang Daun,10,1,0,0,1,10,180.0,0,5500,18000.0,0,18000.0,1,5,0,False,2023-05-01,23.6,285.2,250.0,0.49999999999999994,-0.8660254037844387,36000.0,42000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
131,2023,Juni,BWD,Bawang Daun,10,1,0,0,1,10,80.0,0,5500,8000.0,0,8000.0,1,6,0,False,2023-06-01,23.3,300.0,250.0,1.2246467991473532e-16,-1.0,18000.0,36000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
157,2023,Juli,BWD,Bawang Daun,10,2,0,0,2,10,120.0,0,7500,12000.0,0,12000.0,2,7,0,False,2023-07-01,23.0,120.9,250.0,-0.4999999999999998,-0.8660254037844388,8000.0,20666.666666666668,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
183,2023,Agustus,BWD,Bawang Daun,10,2,0,0,2,10,140.0,0,6000,14000.0,0,14000.0,2,8,0,False,2023-08-01,23.9,114.7,250.0,-0.8660254037844384,-0.5000000000000004,12000.0,12666.666666666666,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
209,2023,September,BWD,Bawang Daun,10,2,0,0,2,10,160.0,0,8000,16000.0,0,16000.0,2,9,0,False,2023-09-01,24.8,177.0,250.0,-1.0,-1.8369701987210297e-16,14000.0,11333.333333333334,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
235,2023,Oktober,BWD,Bawang Daun,10,2,0,0,2,10,145.0,0,7000,14500.0,0,14500.0,2,10,0,False,2023-10-01,25.6,297.6,250.0,-0.8660254037844386,0.5000000000000001,16000.0,14000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
261,2023,November,BWD,Bawang Daun,10,5,0,0,5,10,375.0,0,8000,37500.0,0,37500.0,5,11,0,False,2023-11-01,24.1,393.0,250.0,-0.5000000000000004,0.8660254037844384,14500.0,14833.333333333334,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
287,2023,Desember,BWD,Bawang Daun,10,3,0,0,3,10,240.0,0,8000,24000.0,0,24000.0,3,12,0,False,2023-12-01,23.9,384.4,250.0,-2.4492935982947064e-16,1.0,37500.0,22666.666666666668,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
313,2024,Januari,BWD,Bawang Daun,10,3,0,0,7,14,600.0,0,6000,60000.0,0,60000.0,3,1,0,False,2024-01-01,23.4,282.1,250.0,0.49999999999999994,0.8660254037844387,24000.0,25333.333333333332,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
339,2024,Februari,BWD,Bawang Daun,14,3,0,0,2,13,600.0,0,8000,60000.0,0,60000.0,3,2,0,False,2024-02-01,23.5,316.1,250.0,0.8660254037844386,0.5000000000000001,60000.0,40500.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
365,2024,Maret,BWD,Bawang Daun,13,3,0,0,6,16,600.0,0,10000,60000.0,0,60000.0,3,3,0,False,2024-03-01,23.4,316.2,250.0,1.0,6.123233995736766e-17,60000.0,48000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
391,2024,April,BWD,Bawang Daun,18,2,14,0,1,17,100.0,1264,6000,10000.0,126400,136400.0,16,4,0,True,2024-04-01,24.0,309.0,250.0,0.8660254037844387,-0.49999999999999983,60000.0,60000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
417,2024,Mei,BWD,Bawang Daun,9,6,4,0,11,10,315.0,990,6000,31500.0,99000,130500.0,10,5,0,True,2024-05-01,24.2,285.2,250.0,0.49999999999999994,-0.8660254037844387,136400.0,85466.66666666667,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
443,2024,Juni,BWD,Bawang Daun,12,1,14,0,10,13,974.0,1380,6000,97400.0,138000,235400.0,15,6,0,True,2024-06-01,23.3,300.0,250.0,1.2246467991473532e-16,-1.0,130500.0,108966.66666666667,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
