Nama,Periode,split,aktual,prediksi
Bawang Daun,2023-07-01,Train,11999.997,4525.927
Bawang Daun,2023-08-01,Train,14000.007,8876.78
Bawang Daun,2023-09-01,Train,16000.001,21107.725
Bawang Daun,2023-10-01,Train,14500.003,46394.63
Bawang Daun,2023-11-01,Train,37499.99,67520.805
Bawang Daun,2023-12-01,Train,23999.998,72383.87
Bawang Daun,2024-01-01,Train,59999.98,59874.62
Bawang Daun,2024-02-01,Train,59999.98,42127.117
Bawang Daun,2024-03-01,Train,59999.98,21112.838
Bawang Daun,2024-04-01,Train,136399.92,10358.033
Bawang Daun,2024-05-01,Train,130499.94,5325.596
Bawang Daun,2024-06-01,Train,235399.89,4803.1963
Bawang Daun,2024-07-01,Train,97199.99,9738.279
Bawang Daun,2024-08-01,Train,0.0,27009.705
Bawang Daun,2024-09-01,Train,95900.05,44656.35
Bawang Daun,2024-10-01,Train,183600.08,25456.385
Bawang Daun,2024-11-01,Train,90200.0,8040.452
Bawang Daun,2024-12-01,Train,167199.97,90537.06
Bawang Daun,2025-01-01,Train,17999.998,88340.945
Bawang Daun,2025-02-01,Train,36000.02,47058.484
Bawang Daun,2025-03-01,Train,54000.01,21641.037
Bawang Daun,2025-04-01,Train,36000.02,7532.632
Bawang Merah,2023-07-01,Train,0.0,0.37070167
Bawang Merah,2023-08-01,Train,0.0,0.14663835
Bawang Merah,2023-09-01,Train,0.0,0.14233686
Bawang Merah,2023-10-01,Train,0.0,0.3825103
Bawang Merah,2023-11-01,Train,0.0,2.0309432
Bawang Merah,2023-12-01,Train,0.0,28.481733
Bawang Merah,2024-01-01,Train,0.0,444.05728
Bawang Merah,2024-02-01,Train,0.0,1372.4955
Bawang Merah,2024-03-01,Train,30000.02,637.4579
Bawang Merah,2024-04-01,Train,210300.02,179.3666
Bawang Merah,2024-05-01,Train,0.0,206.29045
Bawang Merah,2024-06-01,Train,0.0,1652.7244
Bawang Merah,2024-07-01,Train,87399.96,36.0932
Bawang Merah,2024-08-01,Train,185000.02,0.95964855
Bawang Merah,2024-09-01,Train,255899.8,20.424479
Bawang Merah,2024-10-01,Train,139800.06,44741.324
Bawang Merah,2024-11-01,Train,88300.016,99905.94
Bawang Merah,2024-12-01,Train,226100.05,89707.484
Bawang Merah,2025-01-01,Train,0.0,58201.273
Bawang Merah,2025-02-01,Train,0.0,25612.305
Bawang Merah,2025-03-01,Train,0.0,5195.6323
Bawang Merah,2025-04-01,Train,0.0,23.095884
Bawang Putih,2023-07-01,Train,0.0,0.5642773
Bawang Putih,2023-08-01,Train,0.0,0.2536592
Bawang Putih,2023-09-01,Train,0.0,0.25326955
Bawang Putih,2023-10-01,Train,0.0,0.6102161
Bawang Putih,2023-11-01,Train,0.0,2.9438384
Bawang Putih,2023-12-01,Train,0.0,50.685314
Bawang Putih,2024-01-01,Train,0.0,702.2448
Bawang Putih,2024-02-01,Train,0.0,2020.5
Bawang Putih,2024-03-01,Train,0.0,938.8225
Bawang Putih,2024-04-01,Train,122500.02,91.08903
Bawang Putih,2024-05-01,Train,137200.05,26.617327
Bawang Putih,2024-06-01,Train,31400.006,59.336567
Bawang Putih,2024-07-01,Train,216200.08,8022.2183
Bawang Putih,2024-08-01,Train,210800.0,14063.373
Bawang Putih,2024-09-01,Train,147500.02,33496.438
Bawang Putih,2024-10-01,Train,239199.97,92023.31
Bawang Putih,2024-11-01,Train,122500.02,114630.78
Bawang Putih,2024-12-01,Train,90800.01,96702.76
Bawang Putih,2025-01-01,Train,0.0,68565.984
Bawang Putih,2025-02-01,Train,0.0,27806.766
Bawang Putih,2025-03-01,Train,0.0,5148.5312
Bawang Putih,2025-04-01,Train,0.0,29.095165
Bayam,2023-07-01,Train,0.0,2748.438
Bayam,2023-08-01,Train,0.0,3520.5286
Bayam,2023-09-01,Train,14000.007,553.1315
Bayam,2023-10-01,Train,0.0,8.257863
Bayam,2023-11-01,Train,0.0,376.00406
Bayam,2023-12-01,Train,0.0,13871.42
Bayam,2024-01-01,Train,1999.9999,1466.9941
Bayam,2024-02-01,Train,20000.004,3163.2827
Bayam,2024-03-01,Train,50000.008,4895.9575
Bayam,2024-04-01,Train,88099.99,9614.872
Bayam,2024-05-01,Train,191799.9,5075.3945
Bayam,2024-06-01,Train,175000.0,4469.5215
Bayam,2024-07-01,Train,129999.97,8424.701
Bayam,2024-08-01,Train,186699.92,25444.047
Bayam,2024-09-01,Train,103600.04,63340.406
Bayam,2024-10-01,Train,162299.95,108785.65
Bayam,2024-11-01,Train,114100.0,132088.48
Bayam,2024-12-01,Train,200099.95,107790.48
Bayam,2025-01-01,Train,32000.01,79351.91
Bayam,2025-02-01,Train,23999.998,44703.875
Bayam,2025-03-01,Train,16000.001,20701.957
Bayam,2025-04-01,Train,16000.001,6806.796
Buncis,2023-07-01,Train,11999.997,6217.7153
Buncis,2023-08-01,Train,7499.999,14810.64
Buncis,2023-09-01,Train,28000.014,28677.678
Buncis,2023-10-01,Train,21000.01,38877.03
Buncis,2023-11-01,Train,75000.016,54082.66
Buncis,2023-12-01,Train,0.0,71866.61
