Nama,n,zero,positive,min_prod,median_prod,mean_prod,max_prod,zero_ratio
Jamur Tiram,39,35,4,0.0,0.0,3976.923076923077,155000.0,0.8974358974358975
Kacang Panjang,39,35,4,0.0,0.0,1641.025641025641,24000.0,0.8974358974358975
Bawang Merah,39,30,9,0.0,0.0,32123.076923076922,255900.0,0.7692307692307693
Bawang Putih,39,30,9,0.0,0.0,33797.4358974359,239200.0,0.7692307692307693
Petsai/Sawi,39,21,18,0.0,0.0,15974.358974358975,64000.0,0.5384615384615384
Kentang,39,20,19,0.0,0.0,42579.48717948718,260900.0,0.5128205128205128
Mentimun,39,15,24,0.0,21000.0,21871.79487179487,80000.0,0.38461538461538464
Kangkung,39,13,26,0.0,14500.0,16410.25641025641,40000.0,0.3333333333333333
Wortel,39,12,27,0.0,15000.0,39905.1282051282,237000.0,0.3076923076923077
Paprika,39,11,28,0.0,21000.0,92384.61538461539,360000.0,0.28205128205128205
Terung,39,11,28,0.0,40000.0,70717.94871794872,320000.0,0.28205128205128205
Bayam,39,10,29,0.0,16000.0,45171.794871794875,200100.0,0.2564102564102564
Cabai Besar,39,9,30,0.0,47500.0,60000.0,133000.0,0.23076923076923078
Cabai Keriting,39,9,30,0.0,47500.0,55461.53846153846,120000.0,0.23076923076923078
Cabai Rawit,39,9,30,0.0,38000.0,63564.10256410256,150000.0,0.23076923076923078
Labu Siam,39,9,30,0.0,100000.0,102384.61538461539,320000.0,0.23076923076923078
Tomat,39,9,30,0.0,80000.0,77769.23076923077,260000.0,0.23076923076923078
Kubis,39,8,31,0.0,16000.0,57684.61538461538,238500.0,0.20512820512820512
Buncis,39,3,36,0.0,64500.0,63756.41025641026,189500.0,0.07692307692307693
Bawang Daun,39,1,38,0.0,36000.0,53138.46153846154,235400.0,0.02564102564102564
Kembang Kol,39,1,38,0.0,72000.0,75358.97435897436,238900.0,0.02564102564102564
